Timestamp, power, temperature, voltage
0,0.0001197,18.95,4.1913
1,0.0001197,18.95,4.1913
2,0.0001197,18.95,4.1913
3,0.0001197,18.95,4.1913
4,0.0001197,18.95,4.1913
5,0.0001197,18.95,4.1913
6,0.0001197,18.95,4.1913
7,0.0001197,18.95,4.1913
8,0.0001197,18.95,4.1913
9,0.0001197,18.95,4.1913
10,0.0001197,18.95,4.1913
11,0.0001197,18.95,4.1913
12,0.0001197,18.95,4.1913
13,0.0001197,18.95,4.1913
14,0.0001197,18.95,4.1913
15,4.83,18.95,4.1913
16,4.83,18.95,4.167
17,4.83,18.95,4.1483
18,4.83,18.95,4.1318
19,4.83,18.95,4.118
20,4.83,18.95,4.1063
21,4.83,18.95,4.0964
22,4.83,18.95,4.0879
23,4.83,18.95,4.0807
24,4.83,18.95,4.0745
25,4.83,18.95,4.0692
26,4.83,18.95,4.0647
27,4.83,18.95,4.0608
28,4.83,18.95,4.0574
29,4.83,18.95,4.0545
30,4.83,18.95,4.052
31,4.83,18.95,4.0497
32,4.83,18.95,4.0478
33,4.83,18.95,4.046
34,4.83,18.95,4.0445
35,4.83,18.95,4.0431
36,4.83,18.95,4.0418
37,4.83,18.95,4.0407
38,4.83,18.95,4.0397
39,4.83,18.95,4.0387
40,4.83,18.95,4.0378
41,4.83,18.95,4.037
42,4.83,18.95,4.0362
43,4.83,18.95,4.0355
44,4.83,18.95,4.0348
45,4.83,18.95,4.0341
46,4.83,18.95,4.0335
47,4.83,18.95,4.0328
48,4.83,18.95,4.0322
49,4.83,18.95,4.0317
50,1.79,18.95,4.0311
51,1.79,18.95,4.0464
52,1.79,18.95,4.0579
53,1.79,18.95,4.0681
54,1.79,18.95,4.0764
55,1.79,18.95,4.0833
56,1.79,18.95,4.0891
57,1.79,18.95,4.094
58,1.79,18.95,4.098
59,1.79,18.95,4.1013
60,1.79,18.95,4.1041
61,1.79,18.95,4.1064
62,1.79,18.95,4.1083
63,1.79,18.95,4.1099
64,1.79,18.95,4.1112
65,1.79,18.95,4.1122
66,1.79,18.95,4.113
67,1.79,18.95,4.1137
68,1.79,18.95,4.1143
69,1.79,18.95,4.1147
70,1.79,18.95,4.115
71,1.79,18.95,4.1153
72,1.79,18.95,4.1155
73,1.79,18.95,4.1156
74,1.79,18.95,4.1157
75,1.79,18.95,4.1157
76,1.79,18.95,4.1157
77,1.79,18.95,4.1157
78,1.79,18.95,4.1156
79,1.79,18.95,4.1155
80,1.79,18.95,4.1154
81,1.79,18.95,4.1153
82,1.79,18.95,4.1152
83,1.79,18.95,4.1151
84,1.79,18.95,4.115
85,1.79,18.95,4.1148
86,1.79,18.95,4.1147
87,1.79,18.95,4.1145
88,1.79,18.95,4.1144
89,1.79,18.95,4.1142
90,1.79,18.95,4.114
91,1.79,18.95,4.1139
92,1.79,18.95,4.1137
93,1.79,18.95,4.1135
94,1.79,18.95,4.1134
95,2.5,18.95,4.1132
96,2.5,18.95,4.1094
97,2.5,18.95,4.1064
98,2.5,18.95,4.1038
99,2.5,18.95,4.1016
100,2.5,18.95,4.0997
101,2.5,18.95,4.0981
102,2.5,18.95,4.0966
103,2.5,18.95,4.0954
104,2.5,18.95,4.0944
105,2.5,18.95,4.0934
106,2.5,18.95,4.0926
107,2.5,18.95,4.0919
108,2.5,18.95,4.0912
109,2.5,18.95,4.0906
110,2.5,18.95,4.0901
111,2.5,18.95,4.0896
112,2.5,18.95,4.0891
113,2.5,18.95,4.0887
114,2.5,18.95,4.0883
115,2.5,18.95,4.0879
116,2.5,18.95,4.0876
117,2.5,18.95,4.0873
118,2.5,18.95,4.0869
119,2.5,18.95,4.0866
120,2.5,18.95,4.0863
121,2.5,18.95,4.086
122,2.5,18.95,4.0858
123,2.5,18.95,4.0855
124,2.5,18.95,4.0852
125,2.5,18.95,4.0849
126,2.5,18.95,4.0847
127,2.5,18.95,4.0844
128,2.5,18.95,4.0841
